,event_id,investigation_type,event_date,aircraft_damage,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,event_year,event_month,event_day,total_injured
54065,20030205X00167,Accident,2003-01-18,Destroyed,Airplane,piper,pa-28-181,1,Reciprocating,1,1,1,1,vmc,Maneuvering,2003,1,5,3
54904,20030626X00959,Accident,2003-06-21,Destroyed,Airplane,cessna,182h,1,Reciprocating,1,2,2,1,vmc,Maneuvering,2003,6,5,5
58138,20050208X00153,Accident,2005-02-02,Substantial,Airplane,bombardier,cl-600-1a11,1,Turbo Fan,0,4,9,0,vmc,Takeoff,2005,2,2,13
58607,20050523X00653,Incident,2005-05-12,Unknown,Airplane,boeing,717-200,1,Turbo Fan,0,0,0,80,imc,Climb,2005,5,3,0
58754,20050929X01547,Accident,2005-05-31,Minor,Airplane,"bombardier, inc.",cl-600-2b19,1,Turbo Fan,0,1,0,26,vmc,Standing,2005,5,1,1
59044,20050722X01080,Accident,2005-07-06,Destroyed,Helicopter,"erickson air-crane, inc.",s-64f,1,Turbo Shaft,1,1,1,1,vmc,Unknown,2005,7,2,3
59314,20050825X01308,Accident,2005-08-10,Destroyed,Helicopter,sikorsky,s-76c+,0,Unknown,14,0,0,0,unk,Unknown,2005,8,2,14
59362,20050921X01501,Accident,2005-08-19,Substantial,Airplane,boeing,747-200,1,Turbo Fan,0,0,2,338,vmc,Landing,2005,8,4,2
59584,20050927X01540,Incident,2005-09-21,Minor,Airplane,airbus industrie,a320,1,Turbo Jet,0,0,0,146,vmc,Takeoff,2005,9,2,0
59932,20051213X01964,Accident,2005-12-08,Substantial,Airplane,boeing,737-700,1,Turbo Fan,1,1,21,85,imc,Landing,2005,12,3,23
61280,20060828X01241,Accident,2006-08-19,Substantial,Helicopter,mcdonnell douglas helicopters,369e,1,Turbo Shaft,0,0,0,2,vmc,Cruise,2006,8,5,0
61649,20061115X01677,Accident,2006-11-04,Destroyed,Airplane,aircraft mfg & dev. co. (amd),ch601xl slsa,1,Reciprocating,2,0,0,0,vmc,Cruise,2006,11,5,2
61787,20061220X01818,Accident,2006-12-07,Destroyed,Airplane,mooney,m20r,1,Reciprocating,1,0,0,0,imc,Cruise,2006,12,3,1
61947,20070131X00121,Accident,2007-01-15,Substantial,Airplane,partenavia,p 68c,1,Reciprocating,2,0,0,0,imc,Descent,2007,1,0,2
61981,20081003X62954,Accident,2007-01-25,Minor,Airplane,raytheon,b-1900,0,Unknown,0,0,0,15,unk,Unknown,2007,1,3,0
62114,20070510X00546,Accident,2007-02-28,Destroyed,Airplane,ingraham,rv-6,1,Reciprocating,1,0,0,0,vmc,Unknown,2007,2,2,1
62139,20070316X00301,Accident,2007-03-07,Destroyed,Airplane,piper,pa-28-235,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,3,2,3
62296,20070427X00464,Incident,2007-04-07,Unknown,Airplane,cirrus design corp.,sr20,1,Reciprocating,0,0,0,2,vmc,Takeoff,2007,4,5,0
62359,20070427X00462,Accident,2007-04-19,Substantial,Airplane,cessna,u206g,1,Reciprocating,2,0,0,0,imc,Takeoff,2007,4,3,2
62364,20070425X00453,Accident,2007-04-20,Substantial,Airplane,cessna,182q,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,4,4,3
62407,20070503X00507,Accident,2007-04-26,Substantial,Airplane,piper aircraft,pa-38-112,1,Reciprocating,1,0,0,0,vmc,Cruise,2007,4,3,1
62453,20070510X00542,Incident,2007-05-02,Unknown,Airplane,mcdonnell douglas,dc-10-30,1,Turbo Fan,0,0,0,306,vmc,Descent,2007,5,2,0
62458,20070508X00524,Accident,2007-05-03,Destroyed,Airplane,cessna,s550,1,Turbo Jet,2,0,0,0,vmc,Approach,2007,5,3,2
62476,20070624X00786,Accident,2007-05-05,Minor,Balloon,cameron balloons,a-250,1,Unknown,0,2,2,8,vmc,Approach,2007,5,5,4
62533,20070605X00681,Accident,2007-05-13,Destroyed,Helicopter,hughes,369a,1,Turbo Shaft,1,0,0,0,vmc,Cruise,2007,5,6,1
62550,20070601X00676,Accident,2007-05-18,Substantial,Airplane,douglas,dc-9-31,1,Turbo Jet,0,0,0,99,vmc,Standing,2007,5,4,0
62570,20070530X00664,Accident,2007-05-22,Destroyed,Helicopter,eurocopter,as 350 b3,1,Turbo Shaft,1,1,0,0,vmc,Maneuvering,2007,5,1,2
62571,20070624X00785,Accident,2007-05-23,Substantial,Airplane,cessna,172e,1,Reciprocating,0,0,1,0,vmc,Cruise,2007,5,2,1
62597,20070614X00729,Accident,2007-05-27,Substantial,Helicopter,bell,47g,1,Reciprocating,1,0,0,0,vmc,Landing,2007,5,6,1
62664,20070806X01122,Accident,2007-06-08,Substantial,Airplane,raytheon aircraft company,a36,1,Reciprocating,0,2,2,0,vmc,Descent,2007,6,4,4
62673,20070616X00749,Accident,2007-06-10,Substantial,Airplane,dassault-breguet,mystere falcon 900,1,Turbo Fan,0,0,0,15,vmc,Takeoff,2007,6,6,0
62697,20070627X00819,Incident,2007-06-13,Unknown,Airplane,"bombardier, inc.",cl-600-2b19,1,Turbo Fan,0,0,0,53,vmc,Standing,2007,6,2,0
62878,20070718X00957,Accident,2007-07-08,Substantial,Airplane,mooney,m20f,1,Reciprocating,2,2,0,0,vmc,Landing,2007,7,6,4
62912,20070721X00971,Incident,2007-07-11,Minor,Airplane,piper,pa-31-350,1,Reciprocating,0,0,0,1,vmc,Cruise,2007,7,2,0
62928,20070726X01029,Accident,2007-07-14,Substantial,Glider,burkhart grob flugzeugbau,g102 astir cs,1,Unknown,1,0,0,0,vmc,Approach,2007,7,5,1
62943,20070806X01121,Accident,2007-07-15,Substantial,Airplane,piper,pa-28-140,1,Reciprocating,0,1,0,0,vmc,Approach,2007,7,6,1
62950,20070723X00981,Incident,2007-07-15,Unknown,Airplane,cirrus design corp.,sr22,1,Reciprocating,0,0,0,2,vmc,Cruise,2007,7,6,0
63144,20071227X01993,Accident,2007-08-11,Substantial,Airplane,stout gordon,glasair iii,1,Reciprocating,0,0,2,0,vmc,Cruise,2007,8,5,2
63158,20070816X01194,Accident,2007-08-12,Substantial,Airplane,falcon safety craft inc,falcon xp,1,Reciprocating,0,1,0,0,vmc,Takeoff,2007,8,6,1
63182,20071005X01521,Incident,2007-08-15,Minor,Airplane,piper,pa-32r-301t,1,Reciprocating,0,0,0,1,vmc,Descent,2007,8,2,0
63210,20070822X01224,Accident,2007-08-19,Substantial,Airplane,niva,thorp t-18,1,Reciprocating,2,0,0,0,vmc,Takeoff,2007,8,6,2
63221,20071105X01729,Accident,2007-08-22,Substantial,Airplane,beech,c24r,1,Reciprocating,0,2,2,0,vmc,Takeoff,2007,8,2,4
63234,20070905X01314,Accident,2007-08-24,Substantial,Airplane,socata,tb-20 trinidad,1,Reciprocating,2,0,0,0,vmc,Unknown,2007,8,4,2
63245,20080204X00135,Accident,2007-08-25,Destroyed,Airplane,piper,pa-32-260,1,Reciprocating,1,0,0,0,imc,Unknown,2007,8,5,1
63254,20070830X01273,Accident,2007-08-26,Substantial,Airplane,cessna,p206,1,Reciprocating,1,0,0,0,vmc,Maneuvering,2007,8,6,1
63268,20080321X00347,Accident,2007-08-30,Substantial,Airplane,piper,pa-28-181,1,Reciprocating,0,0,0,1,vmc,Landing,2007,8,3,0
63290,20070907X01326,Accident,2007-09-01,Destroyed,Airplane,beech,a36,1,Reciprocating,5,0,0,0,vmc,Climb,2007,9,5,5
63298,20070927X01454,Accident,2007-09-02,Substantial,Airplane,piper,pa-28-181,1,Reciprocating,0,0,0,2,vmc,Go-around,2007,9,6,0
63303,20070925X01442,Accident,2007-09-02,Destroyed,Airplane,cessna,150j,1,Reciprocating,1,0,0,0,vmc,Approach,2007,9,6,1
63312,20070910X01344,Accident,2007-09-03,Substantial,Airplane,yakovlev,yak 52,1,Reciprocating,2,0,0,0,vmc,Takeoff,2007,9,0,2
63322,20070920X01422,Accident,2007-09-05,Substantial,Helicopter,bell,206b3,1,Turbo Shaft,0,0,0,4,vmc,Descent,2007,9,2,0
63329,20070917X01406,Accident,2007-09-06,Destroyed,Airplane,piper,pa-28-140,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,9,3,3
63359,20070927X01460,Accident,2007-09-11,Substantial,Airplane,grumman american,aa-5,1,Reciprocating,1,0,0,0,vmc,Descent,2007,9,1,1
63368,20070923X01430,Accident,2007-09-12,Substantial,Helicopter,robinson helicopter,r22 beta,1,Reciprocating,0,1,1,0,vmc,Climb,2007,9,2,2
63387,20071018X01612,Accident,2007-09-14,Substantial,Airplane,skykits,savannah adv,1,Reciprocating,0,0,0,2,vmc,Landing,2007,9,4,0
63411,20070927X01464,Accident,2007-09-17,Substantial,Airplane,root,sherpa,1,Reciprocating,0,1,1,0,vmc,Approach,2007,9,0,2
63416,20071024X01649,Accident,2007-09-19,Substantial,Airplane,ortiz g/saint j,rv-10,1,Reciprocating,0,0,0,1,vmc,Cruise,2007,9,2,0
63430,20070928X01469,Accident,2007-09-21,Substantial,Airplane,temco,gc-1b,1,Reciprocating,1,0,0,0,vmc,Takeoff,2007,9,4,1
63436,20070925X01444,Accident,2007-09-21,Destroyed,Airplane,north american,navion,1,Reciprocating,1,0,0,0,imc,Cruise,2007,9,4,1
63438,20071004X01514,Accident,2007-09-22,Substantial,Airplane,grumman,aa-5a,1,Reciprocating,1,0,0,0,vmc,Takeoff,2007,9,5,1
63441,20070926X01452,Accident,2007-09-22,Substantial,Airplane,cessna,180,1,Reciprocating,1,1,0,0,vmc,Takeoff,2007,9,5,2
63476,20071107X01743,Accident,2007-09-30,Substantial,Airplane,beech,f33a,1,Reciprocating,0,0,2,0,vmc,Approach,2007,9,6,2
63498,20071031X01692,Accident,2007-10-04,Substantial,Airplane,indus,t211 thorpedo,1,Reciprocating,0,1,1,0,vmc,Approach,2007,10,3,2
63507,20071017X01592,Accident,2007-10-05,Substantial,Airplane,bellanca,7gcbc,1,Reciprocating,1,0,0,0,vmc,Cruise,2007,10,4,1
63508,20071017X01608,Accident,2007-10-05,Substantial,Airplane,piper,pa-28-140,1,Reciprocating,1,0,0,0,imc,Cruise,2007,10,4,1
63512,20071017X01600,Accident,2007-10-06,Substantial,Airplane,bellanca,7gcaa,1,Reciprocating,1,0,0,0,vmc,Takeoff,2007,10,5,1
63522,20071128X01861,Accident,2007-10-07,Substantial,Airplane,cessna,170a,1,Reciprocating,0,0,0,2,vmc,Landing,2007,10,6,0
63535,20071023X01643,Accident,2007-10-07,Destroyed,Airplane,cessna,150l,1,Reciprocating,2,0,0,0,vmc,Takeoff,2007,10,6,2
63599,20071104X01724,Accident,2007-10-20,Substantial,Airplane,ryan,st-3kr,1,Reciprocating,0,0,0,1,vmc,Descent,2007,10,5,0
63615,20071026X01664,Accident,2007-10-23,Substantial,Airplane,taylorcraft,dco-65,1,Reciprocating,0,0,1,1,vmc,Approach,2007,10,1,1
63616,20071102X01708,Accident,2007-10-23,Substantial,Airplane,piper,pa-44-180,1,Reciprocating,2,0,0,0,vmc,Cruise,2007,10,1,2
63633,20071105X01726,Accident,2007-10-26,Destroyed,Airplane,piper,pa-28r-200,1,Reciprocating,2,0,0,0,vmc,Cruise,2007,10,4,2
63645,20071102X01706,Accident,2007-10-28,Destroyed,Airplane,grumman american,aa-5a,1,Reciprocating,1,0,0,0,vmc,Approach,2007,10,6,1
63665,20071108X01767,Accident,2007-11-01,Destroyed,Airplane,"wrb associates, llc.",zodiac 601 xl,1,Reciprocating,1,0,0,0,vmc,Maneuvering,2007,11,3,1
63666,20071109X01779,Accident,2007-11-02,Substantial,Airplane,kelly,f1d,1,Reciprocating,1,0,0,0,vmc,Approach,2007,11,4,1
63676,20071107X01748,Accident,2007-11-03,Substantial,Airplane,cessna,172i,1,Reciprocating,1,0,0,0,vmc,Maneuvering,2007,11,5,1
63681,20071121X01825,Accident,2007-11-04,Destroyed,Airplane,blondin,601hds,1,Reciprocating,2,0,0,0,vmc,Maneuvering,2007,11,6,2
63683,20071111X01782,Accident,2007-11-05,Substantial,Airplane,vans aircraft,rv-7a,1,Reciprocating,0,0,1,0,vmc,Cruise,2007,11,0,1
63687,20071119X01805,Accident,2007-11-05,Destroyed,Helicopter,robinson helicopter,r44,1,Reciprocating,3,0,0,0,vmc,Takeoff,2007,11,0,3
63695,20071121X01830,Accident,2007-11-06,Destroyed,Airplane,cessna,340,1,Reciprocating,3,0,0,0,imc,Approach,2007,11,1,3
63699,20071121X01829,Accident,2007-11-08,Substantial,Helicopter,hughes,269c,1,Reciprocating,1,0,0,0,vmc,Maneuvering,2007,11,3,1
63700,20071119X01814,Accident,2007-11-08,Substantial,Airplane,beech,a36,1,Reciprocating,0,0,0,2,vmc,Cruise,2007,11,3,0
63702,20071121X01832,Accident,2007-11-08,Destroyed,Airplane,cessna,t182t,1,Reciprocating,2,0,0,0,vmc,Climb,2007,11,3,2
63708,20071113X01789,Accident,2007-11-09,Destroyed,Airplane,piper,pa-60-602p,1,Reciprocating,3,0,0,0,vmc,Descent,2007,11,4,3
63719,20071127X01856,Accident,2007-11-11,Substantial,Airplane,gulfstream aerospace,g-iv,1,Turbo Fan,0,0,0,8,vmc,Landing,2007,11,6,0
63722,20071121X01833,Accident,2007-11-12,Substantial,Airplane,piper,pa-31-350,1,Reciprocating,0,0,0,1,vmc,Landing,2007,11,0,0
63765,20080210X00165,Accident,2007-11-24,Substantial,Helicopter,robinson,r22,1,Reciprocating,0,0,0,1,vmc,Maneuvering,2007,11,5,0
63771,20071221X01985,Accident,2007-11-26,Substantial,Airplane,cessna,310r,1,Reciprocating,1,0,0,0,imc,Approach,2007,11,0,1
63775,20071129X01876,Accident,2007-11-27,Substantial,Airplane,herink h r/herink r w,challenger,1,Reciprocating,1,0,0,0,vmc,Unknown,2007,11,1,1
63776,20071130X01879,Accident,2007-11-27,Destroyed,Airplane,cessna,t210m,1,Reciprocating,2,1,0,0,vmc,Climb,2007,11,1,3
63778,20071207X01913,Accident,2007-11-28,Substantial,Airplane,mooney,m20j,1,Reciprocating,1,0,0,0,imc,Approach,2007,11,2,1
63780,20071203X01887,Accident,2007-11-28,Substantial,Airplane,cessna,172n,1,Reciprocating,2,0,0,0,vmc,Maneuvering,2007,11,2,2
63788,20071212X01933,Accident,2007-11-29,Destroyed,Airplane,swearingen t r/masters w,rand kr 2,1,Reciprocating,1,0,0,0,vmc,Takeoff,2007,11,3,1
63793,20071206X01905,Accident,2007-12-01,Substantial,Airplane,porter glen,aventura ii,1,Reciprocating,0,1,0,0,vmc,Takeoff,2007,12,5,1
63797,20080124X00102,Incident,2007-12-02,Unknown,Airplane,airbus industrie,a320,1,Turbo Fan,0,0,0,184,vmc,Landing,2007,12,6,0
63798,20080124X00102,Incident,2007-12-02,Unknown,Unknown,"bombardier, inc.",crj1,0,Unknown,0,0,0,184,vmc,Takeoff,2007,12,6,0
63803,20071211X01927,Incident,2007-12-04,Unknown,Helicopter,robinson,r22 beta,1,Reciprocating,0,0,0,2,vmc,Landing,2007,12,1,0
63819,20071218X01970,Accident,2007-12-08,Substantial,Airplane,cessna,t210n,1,Reciprocating,2,0,0,0,imc,Approach,2007,12,5,2
63825,20080109X00034,Accident,2007-12-09,Substantial,Airplane,beech,h35,1,Reciprocating,1,0,0,0,imc,Approach,2007,12,6,1
63830,20071219X01975,Accident,2007-12-11,Destroyed,Airplane,beech,a36tc,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,12,1,3
63833,20071227X01998,Accident,2007-12-12,Substantial,Airplane,"wootton, john",aero canard,1,Reciprocating,1,0,0,0,vmc,Takeoff,2007,12,2,1
63838,20071219X01976,Accident,2007-12-13,Substantial,Airplane,piper,pa32-260,1,Reciprocating,0,0,2,0,vmc,Cruise,2007,12,3,2
63843,20080131X00126,Incident,2007-12-14,Unknown,Helicopter,eurocopter france,as350 b3,1,Turbo Shaft,0,0,0,2,vmc,Approach,2007,12,4,0
63845,20071231X02013,Accident,2007-12-14,Minor,Airplane,boeing,777-222,1,Turbo Fan,0,1,0,263,vmc,Approach,2007,12,4,1
63847,20071226X01986,Accident,2007-12-15,Destroyed,Airplane,mooney,m20c,1,Reciprocating,0,1,1,0,vmc,Cruise,2007,12,5,2
63869,20080117X00066,Accident,2007-12-20,Substantial,Airplane,douglas,dc-3t,1,Unknown,0,0,1,9,vmc,Takeoff,2007,12,3,1
63874,20080722X01095,Accident,2007-12-21,Destroyed,Airplane,cessna,310,1,Reciprocating,2,0,0,0,unk,Unknown,2007,12,4,2
63888,20080107X00025,Accident,2007-12-25,Unknown,Airplane,airbus industrie,a330-323,1,Turbo Fan,0,1,3,291,vmc,Cruise,2007,12,1,4
63889,20080107X00024,Accident,2007-12-25,Unknown,Airplane,mcdonnell douglas,dc-9-83,1,Turbo Fan,0,2,0,112,vmc,Descent,2007,12,1,2
63891,20080210X00163,Accident,2007-12-26,Substantial,Airplane,cessna,182r,1,Reciprocating,0,0,0,1,vmc,Takeoff,2007,12,2,0
63893,20080104X00022,Accident,2007-12-26,Substantial,Airplane,mooney,m20e,1,Reciprocating,0,0,2,0,vmc,Takeoff,2007,12,2,2
63896,20071231X02008,Incident,2007-12-26,Minor,Airplane,piper,pa-46-310p,1,Reciprocating,0,0,0,4,vmc,Climb,2007,12,2,0
63900,20080102X00006,Accident,2007-12-28,Substantial,Airplane,hein,sonex,1,Reciprocating,0,1,0,0,vmc,Cruise,2007,12,4,1
63906,20080103X00010,Accident,2007-12-29,Destroyed,Gyrocraft,althouse,raf 2000 gtx,1,Reciprocating,2,0,0,0,vmc,Maneuvering,2007,12,5,2
63908,20080109X00032,Accident,2007-12-30,Substantial,Helicopter,bell,206l-3,1,Turbo Shaft,3,0,0,0,vmc,Maneuvering,2007,12,6,3
63913,20080107X00026,Accident,2008-01-01,Substantial,Airplane,barnard/stancil,glastar,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,1,1,0
63914,20080109X00036,Accident,2008-01-01,Substantial,Airplane,micco aircraft company,mac-145b,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,1,0
63915,20080115X00051,Accident,2008-01-02,Substantial,Airplane,cessna,152,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,2,0
63916,20080210X00166,Accident,2008-01-02,Substantial,Airplane,beech,a36,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,1,2,0
63917,20080107X00027,Accident,2008-01-03,Unknown,Airplane,pilatus,pc-12/45,1,Turbo Prop,0,0,0,8,vmc,Unknown,2008,1,3,0
63918,20080111X00038,Incident,2008-01-03,Minor,Airplane,boeing,737-400,1,Turbo Fan,0,0,0,0,unk,Unknown,2008,1,3,0
63919,20080115X00046,Accident,2008-01-03,Substantial,Airplane,costruzioni aeronautiche,p2002 sierra,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,3,0
63920,20080214X00194,Accident,2008-01-04,Substantial,Airplane,american champion (acac),7ac,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,4,0
63921,20080115X00047,Accident,2008-01-05,Substantial,Airplane,cessna,r172k,1,Reciprocating,0,1,0,0,vmc,Unknown,2008,1,5,1
63922,20080116X00063,Accident,2008-01-05,Substantial,Airplane,piper,pa-31-350,1,Reciprocating,6,1,3,0,vmc,Unknown,2008,1,5,10
63923,20080123X00096,Accident,2008-01-05,Substantial,Airplane,dean patrick g,genesis,1,Reciprocating,0,1,0,0,vmc,Unknown,2008,1,5,1
63924,20080321X00354,Accident,2008-01-05,Substantial,Airplane,piper,pa-32r-300,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,5,0
63925,20080114X00044,Accident,2008-01-06,Substantial,Airplane,piper,pa-28-161,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,6,0
63926,20080222X00230,Accident,2008-01-06,Substantial,Gyrocraft,mcguire,raf2000,1,Reciprocating,0,1,0,1,vmc,Unknown,2008,1,6,1
63927,20080312X00299,Accident,2008-01-06,Substantial,Airplane,cessna,170a,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,6,0
63928,20080111X00039,Incident,2008-01-07,Minor,Airplane,boeing,747-400,1,Turbo Fan,0,0,0,334,unk,Unknown,2008,1,0,0
63929,20080122X00087,Accident,2008-01-07,Substantial,Helicopter,bell,407,1,Turbo Shaft,0,0,0,2,vmc,Unknown,2008,1,0,0
63930,20080220X00212,Accident,2008-01-07,Substantial,Airplane,bellanca,7gcbc,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,0,0
63931,20080220X00219,Accident,2008-01-07,Destroyed,Helicopter,bell,206b,1,Turbo Shaft,1,1,0,0,imc,Unknown,2008,1,0,2
63932,20080122X00088,Incident,2008-01-08,Unknown,Airplane,boeing,737-2h4,1,Turbo Fan,0,0,0,38,vmc,Unknown,2008,1,1,0
63933,20080204X00131,Accident,2008-01-08,Substantial,Helicopter,robinson,r-22,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,1,0
63934,20080210X00162,Accident,2008-01-08,Substantial,Helicopter,robinson,r22 beta,1,Reciprocating,0,0,1,0,vmc,Unknown,2008,1,1,1
63935,20080125X00103,Accident,2008-01-09,Substantial,Airplane,airbus industrie,a319-114,1,Turbo Fan,0,0,0,73,vmc,Unknown,2008,1,2,0
63936,20080117X00068,Accident,2008-01-10,Substantial,Airplane,corsario,mk-5,1,Reciprocating,1,0,0,0,vmc,Unknown,2008,1,3,1
63937,20080122X00081,Incident,2008-01-10,Unknown,Airplane,airbus industrie,319,0,Unknown,0,11,0,77,unk,Unknown,2008,1,3,11
63938,20080219X00203,Accident,2008-01-10,Substantial,Airplane,cessna,150g,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,3,0
63939,20080211X00175,Accident,2008-01-10,Substantial,Helicopter,eurocopter france,as350b3,1,Turbo Shaft,0,0,0,2,unk,Unknown,2008,1,3,0
63940,20080118X00079,Accident,2008-01-11,Destroyed,Airplane,cessna,210m,1,Reciprocating,6,0,0,0,vmc,Unknown,2008,1,4,6
63941,20080219X00204,Accident,2008-01-11,Substantial,Airplane,cessna,c-152,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,4,0
63942,20080422X00527,Accident,2008-01-11,Destroyed,Helicopter,bell,412hp,0,Unknown,8,0,0,0,vmc,Unknown,2008,1,4,8
63943,20080115X00052,Accident,2008-01-12,Substantial,Airplane,cessna,172m,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,5,0
63944,20080116X00062,Accident,2008-01-12,Substantial,Airplane,cessna,340,1,Reciprocating,4,0,0,0,vmc,Unknown,2008,1,5,4
63945,20080122X00082,Accident,2008-01-12,Substantial,Airplane,ziermann,rv8,1,Reciprocating,0,0,1,0,vmc,Unknown,2008,1,5,1
63946,20080123X00090,Accident,2008-01-12,Substantial,Airplane,cessna,172l,1,Reciprocating,3,0,0,0,vmc,Unknown,2008,1,5,3
63947,20080125X00104,Accident,2008-01-12,Substantial,Airplane,piper,pa-28-181,1,Reciprocating,2,0,0,0,unk,Unknown,2008,1,5,2
63948,20080129X00117,Accident,2008-01-12,Substantial,Gyrocraft,newbold,newbold 2000,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,5,0
63949,20080213X00180,Accident,2008-01-12,Substantial,Airplane,piper,pa-24-250,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,5,0
63950,20080304X00261,Accident,2008-01-12,Substantial,Airplane,piper,pa-32-300,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,5,0
63951,20080117X00069,Accident,2008-01-13,Substantial,Airplane,piper,pa-12,1,Reciprocating,0,1,0,1,vmc,Unknown,2008,1,6,1
63952,20080207X00153,Accident,2008-01-13,Substantial,Helicopter,bell,206 b2,1,Turbo Shaft,0,0,0,2,vmc,Unknown,2008,1,6,0
63953,20080507X00622,Accident,2008-01-13,Substantial,Airplane,cessna,tu206g,1,Reciprocating,0,0,2,4,unk,Unknown,2008,1,6,2
63954,20080117X00067,Accident,2008-01-14,Destroyed,Airplane,hawker beechcraft corporation,1900c,1,Turbo Prop,1,0,0,0,vmc,Unknown,2008,1,0,1
63955,20080118X00073,Accident,2008-01-14,Substantial,Airplane,"bombardier, inc.",cl-600-2c10,1,Turbo Fan,0,0,0,61,vmc,Unknown,2008,1,0,0
63956,20080213X00179,Accident,2008-01-14,Substantial,Airplane,desousa,jabiru j400,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,1,0,0
63957,20080312X00302,Accident,2008-01-14,Substantial,Airplane,piper,pa-32-260,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,0,0
63958,20080118X00074,Accident,2008-01-15,Substantial,Airplane,cessna,208b,1,Turbo Prop,0,1,0,4,vmc,Unknown,2008,1,1,1
63959,20080122X00084,Accident,2008-01-15,Destroyed,Airplane,beech,c90b,1,Turbo Prop,2,0,0,0,vmc,Unknown,2008,1,1,2
63960,20080215X00202,Accident,2008-01-15,Substantial,Helicopter,robinson,r44 ii,1,Reciprocating,0,1,0,3,imc,Unknown,2008,1,1,1
63961,20080118X00075,Accident,2008-01-16,Substantial,Airplane,cessna,207,1,Reciprocating,0,0,1,0,imc,Unknown,2008,1,2,1
63962,20080204X00132,Accident,2008-01-16,Substantial,Helicopter,bell,212,1,Turbo Shaft,0,0,0,0,unk,Unknown,2008,1,2,0
63963,20080318X00329,Accident,2008-01-16,Substantial,Airplane,beech,58p,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,2,0
63964,20080117X00065,Accident,2008-01-17,Substantial,Airplane,boeing,777-236er,0,Unknown,0,2,0,191,unk,Unknown,2008,1,3,2
63965,20080122X00085,Accident,2008-01-17,Substantial,Airplane,hawker beechcraft corp.,58,1,Reciprocating,1,0,0,0,vmc,Unknown,2008,1,3,1
63966,20080123X00091,Accident,2008-01-17,Substantial,Airplane,grumman american,aa-5b,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,3,0
63967,20080129X00119,Accident,2008-01-17,Substantial,Airplane,aero commander,500b,1,Reciprocating,1,0,0,0,imc,Unknown,2008,1,3,1
63968,20080220X00218,Accident,2008-01-17,Substantial,Airplane,piper,pa-32-301xtc,1,Reciprocating,0,0,0,4,vmc,Unknown,2008,1,3,0
63969,20080229X00249,Accident,2008-01-17,Substantial,Airplane,cessna,a188b,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,3,0
63970,20080123X00098,Accident,2008-01-18,Substantial,Airplane,beechcraft,v35b,1,Reciprocating,1,0,0,0,vmc,Unknown,2008,1,4,1
63971,20080128X00111,Accident,2008-01-18,Destroyed,Airplane,piper,pa46-500tp,1,Turbo Prop,1,0,0,0,imc,Unknown,2008,1,4,1
63972,20080411X00456,Incident,2008-01-18,Unknown,Airplane,fairchild,sa227-ac,1,Turbo Prop,0,0,0,2,vmc,Unknown,2008,1,4,0
63973,20080718X01067,Accident,2008-01-18,Substantial,Helicopter,bell,206-l3,1,Turbo Shaft,0,5,0,0,vmc,Unknown,2008,1,4,5
63974,20080122X00086,Accident,2008-01-19,Destroyed,Airplane,beech,200,1,Turbo Prop,13,0,0,0,imc,Unknown,2008,1,5,13
63975,20080208X00159,Accident,2008-01-19,Substantial,Airplane,air creation,clipper,1,Reciprocating,2,0,0,0,vmc,Unknown,2008,1,5,2
63976,20080220X00213,Accident,2008-01-19,Substantial,Airplane,waltermire,glastar,1,Reciprocating,0,1,0,1,vmc,Unknown,2008,1,5,1
63977,20080312X00300,Accident,2008-01-19,Substantial,Airplane,quicksilver,sport 2s,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,5,0
63978,20080130X00124,Accident,2008-01-20,Destroyed,Airplane,cessna,172n,1,Reciprocating,4,0,0,0,vmc,Unknown,2008,1,6,4
