investigation_type,event_date,aircraft_damage,make,model,number_of_engines,engine_type,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,event_year,event_month,event_day,make_top,make_type,total_onboard,fatal_percentage,minor_injuries_percentage
Accident,2003-01-18,Destroyed,piper,pa-28-181,1,Reciprocating,1,1,1,1,vmc,Maneuvering,2003,1,5,piper,private,4,25.0,25.0
Accident,2003-06-21,Destroyed,cessna,182h,1,Reciprocating,1,2,2,1,vmc,Maneuvering,2003,6,5,cessna,private,6,16.666666666666664,33.33333333333333
Accident,2005-02-02,Substantial,bombardier,cl-600-1a11,2,Turbo Fan,0,4,9,0,vmc,Takeoff,2005,2,2,bombardier,commercial,13,0.0,69.23076923076923
Incident,2005-05-12,Unknown,boeing,717-200,2,Turbo Fan,0,0,0,80,imc,Climb,2005,5,3,boeing,commercial,80,0.0,0.0
Accident,2005-05-31,Minor,"bombardier, inc.",cl-600-2b19,2,Turbo Fan,0,1,0,26,vmc,Standing,2005,5,1,bombardier,commercial,27,0.0,0.0
Accident,2005-08-19,Substantial,boeing,747-200,4,Turbo Fan,0,0,2,338,vmc,Landing,2005,8,4,boeing,commercial,340,0.0,0.5882352941176471
Incident,2005-09-21,Minor,airbus industrie,a320,2,Turbo Jet,0,0,0,146,vmc,Takeoff,2005,9,2,airbus,commercial,146,0.0,0.0
Accident,2005-12-08,Substantial,boeing,737-700,2,Turbo Fan,1,1,21,85,imc,Landing,2005,12,3,boeing,commercial,108,0.9259259259259258,19.444444444444446
Accident,2007-03-07,Destroyed,piper,pa-28-235,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,3,2,piper,private,3,100.0,0.0
Accident,2007-04-19,Substantial,cessna,u206g,1,Reciprocating,2,0,0,0,imc,Takeoff,2007,4,3,cessna,private,2,100.0,0.0
Accident,2007-04-20,Substantial,cessna,182q,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,4,4,cessna,private,3,100.0,0.0
Accident,2007-04-26,Substantial,piper aircraft,pa-38-112,1,Reciprocating,1,0,0,0,vmc,Cruise,2007,4,3,piper,private,1,100.0,0.0
Accident,2007-05-03,Destroyed,cessna,s550,2,Turbo Jet,2,0,0,0,vmc,Approach,2007,5,3,cessna,private,2,100.0,0.0
Accident,2007-05-23,Substantial,cessna,172e,1,Reciprocating,0,0,1,0,vmc,Cruise,2007,5,2,cessna,private,1,0.0,100.0
Accident,2007-06-10,Substantial,dassault-breguet,mystere falcon 900,3,Turbo Fan,0,0,0,15,vmc,Takeoff,2007,6,6,dassault,private,15,0.0,0.0
Incident,2007-06-13,Unknown,"bombardier, inc.",cl-600-2b19,2,Turbo Fan,0,0,0,53,vmc,Standing,2007,6,2,bombardier,commercial,53,0.0,0.0
Incident,2007-07-11,Minor,piper,pa-31-350,2,Reciprocating,0,0,0,1,vmc,Cruise,2007,7,2,piper,private,1,0.0,0.0
Accident,2007-07-15,Substantial,piper,pa-28-140,1,Reciprocating,0,1,0,0,vmc,Approach,2007,7,6,piper,private,1,0.0,0.0
Incident,2007-08-15,Minor,piper,pa-32r-301t,1,Reciprocating,0,0,0,1,vmc,Descent,2007,8,2,piper,private,1,0.0,0.0
Accident,2007-08-22,Substantial,beech,c24r,1,Reciprocating,0,2,2,0,vmc,Takeoff,2007,8,2,beechcraft,private,4,0.0,50.0
Accident,2007-08-25,Destroyed,piper,pa-32-260,1,Reciprocating,1,0,0,0,imc,Unknown,2007,8,5,piper,private,1,100.0,0.0
Accident,2007-08-26,Substantial,cessna,p206,1,Reciprocating,1,0,0,0,vmc,Maneuvering,2007,8,6,cessna,private,1,100.0,0.0
Accident,2007-08-30,Substantial,piper,pa-28-181,1,Reciprocating,0,0,0,1,vmc,Landing,2007,8,3,piper,private,1,0.0,0.0
Accident,2007-09-01,Destroyed,beech,a36,1,Reciprocating,5,0,0,0,vmc,Climb,2007,9,5,beechcraft,private,5,100.0,0.0
Accident,2007-09-02,Substantial,piper,pa-28-181,1,Reciprocating,0,0,0,2,vmc,Go-around,2007,9,6,piper,private,2,0.0,0.0
Accident,2007-09-02,Destroyed,cessna,150j,1,Reciprocating,1,0,0,0,vmc,Approach,2007,9,6,cessna,private,1,100.0,0.0
Accident,2007-09-06,Destroyed,piper,pa-28-140,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,9,3,piper,private,3,100.0,0.0
Accident,2007-09-22,Substantial,cessna,180,1,Reciprocating,1,1,0,0,vmc,Takeoff,2007,9,5,cessna,private,2,50.0,0.0
Accident,2007-09-30,Substantial,beech,f33a,1,Reciprocating,0,0,2,0,vmc,Approach,2007,9,6,beechcraft,private,2,0.0,100.0
Accident,2007-10-05,Substantial,piper,pa-28-140,1,Reciprocating,1,0,0,0,imc,Cruise,2007,10,4,piper,private,1,100.0,0.0
Accident,2007-10-07,Substantial,cessna,170a,1,Reciprocating,0,0,0,2,vmc,Landing,2007,10,6,cessna,private,2,0.0,0.0
Accident,2007-10-07,Destroyed,cessna,150l,1,Reciprocating,2,0,0,0,vmc,Takeoff,2007,10,6,cessna,private,2,100.0,0.0
Accident,2007-10-23,Substantial,piper,pa-44-180,2,Reciprocating,2,0,0,0,vmc,Cruise,2007,10,1,piper,private,2,100.0,0.0
Accident,2007-10-26,Destroyed,piper,pa-28r-200,1,Reciprocating,2,0,0,0,vmc,Cruise,2007,10,4,piper,private,2,100.0,0.0
Accident,2007-11-03,Substantial,cessna,172i,1,Reciprocating,1,0,0,0,vmc,Maneuvering,2007,11,5,cessna,private,1,100.0,0.0
Accident,2007-11-06,Destroyed,cessna,340,2,Reciprocating,3,0,0,0,imc,Approach,2007,11,1,cessna,private,3,100.0,0.0
Accident,2007-11-08,Substantial,beech,a36,1,Reciprocating,0,0,0,2,vmc,Cruise,2007,11,3,beechcraft,private,2,0.0,0.0
Accident,2007-11-08,Destroyed,cessna,t182t,1,Reciprocating,2,0,0,0,vmc,Climb,2007,11,3,cessna,private,2,100.0,0.0
Accident,2007-11-09,Destroyed,piper,pa-60-602p,2,Reciprocating,3,0,0,0,vmc,Descent,2007,11,4,piper,private,3,100.0,0.0
Accident,2007-11-11,Substantial,gulfstream aerospace,g-iv,2,Turbo Fan,0,0,0,8,vmc,Landing,2007,11,6,gulfstream,private,8,0.0,0.0
Accident,2007-11-12,Substantial,piper,pa-31-350,2,Reciprocating,0,0,0,1,vmc,Landing,2007,11,0,piper,private,1,0.0,0.0
Accident,2007-11-26,Substantial,cessna,310r,2,Reciprocating,1,0,0,0,imc,Approach,2007,11,0,cessna,private,1,100.0,0.0
Accident,2007-11-27,Destroyed,cessna,t210m,1,Reciprocating,2,1,0,0,vmc,Climb,2007,11,1,cessna,private,3,66.66666666666666,0.0
Accident,2007-11-28,Substantial,cessna,172n,1,Reciprocating,2,0,0,0,vmc,Maneuvering,2007,11,2,cessna,private,2,100.0,0.0
Incident,2007-12-02,Unknown,airbus industrie,a320,2,Turbo Fan,0,0,0,184,vmc,Landing,2007,12,6,airbus,commercial,184,0.0,0.0
Accident,2007-12-08,Substantial,cessna,t210n,1,Reciprocating,2,0,0,0,imc,Approach,2007,12,5,cessna,private,2,100.0,0.0
Accident,2007-12-09,Substantial,beech,h35,1,Reciprocating,1,0,0,0,imc,Approach,2007,12,6,beechcraft,private,1,100.0,0.0
Accident,2007-12-11,Destroyed,beech,a36tc,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,12,1,beechcraft,private,3,100.0,0.0
Accident,2007-12-13,Substantial,piper,pa32-260,1,Reciprocating,0,0,2,0,vmc,Cruise,2007,12,3,piper,private,2,0.0,100.0
Accident,2007-12-14,Minor,boeing,777-222,2,Turbo Fan,0,1,0,263,vmc,Approach,2007,12,4,boeing,commercial,264,0.0,0.0
Accident,2007-12-21,Destroyed,cessna,310,2,Reciprocating,2,0,0,0,unk,Unknown,2007,12,4,cessna,private,2,100.0,0.0
Accident,2007-12-25,Unknown,airbus industrie,a330-323,2,Turbo Fan,0,1,3,291,vmc,Cruise,2007,12,1,airbus,commercial,295,0.0,1.0169491525423728
Accident,2007-12-26,Substantial,cessna,182r,1,Reciprocating,0,0,0,1,vmc,Takeoff,2007,12,2,cessna,private,1,0.0,0.0
Incident,2007-12-26,Minor,piper,pa-46-310p,1,Reciprocating,0,0,0,4,vmc,Climb,2007,12,2,piper,private,4,0.0,0.0
Accident,2008-01-02,Substantial,cessna,152,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,2,cessna,private,1,0.0,0.0
Accident,2008-01-02,Substantial,beech,a36,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,1,2,beechcraft,private,3,0.0,0.0
Incident,2008-01-03,Minor,boeing,737-400,2,Turbo Fan,0,0,0,0,unk,Unknown,2008,1,3,boeing,commercial,0,,
Accident,2008-01-05,Substantial,cessna,r172k,1,Reciprocating,0,1,0,0,vmc,Unknown,2008,1,5,cessna,private,1,0.0,0.0
Accident,2008-01-05,Substantial,piper,pa-31-350,2,Reciprocating,6,1,3,0,vmc,Unknown,2008,1,5,piper,private,10,60.0,30.0
Accident,2008-01-05,Substantial,piper,pa-32r-300,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,5,piper,private,2,0.0,0.0
Accident,2008-01-06,Substantial,piper,pa-28-161,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,6,piper,private,2,0.0,0.0
Accident,2008-01-06,Substantial,cessna,170a,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,6,cessna,private,2,0.0,0.0
Incident,2008-01-07,Minor,boeing,747-400,4,Turbo Fan,0,0,0,334,unk,Unknown,2008,1,0,boeing,commercial,334,0.0,0.0
Incident,2008-01-08,Unknown,boeing,737-2h4,2,Turbo Fan,0,0,0,38,vmc,Unknown,2008,1,1,boeing,commercial,38,0.0,0.0
Accident,2008-01-09,Substantial,airbus industrie,a319-114,2,Turbo Fan,0,0,0,73,vmc,Unknown,2008,1,2,airbus,commercial,73,0.0,0.0
Accident,2008-01-10,Substantial,cessna,150g,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,3,cessna,private,2,0.0,0.0
Accident,2008-01-11,Destroyed,cessna,210m,1,Reciprocating,6,0,0,0,vmc,Unknown,2008,1,4,cessna,private,6,100.0,0.0
Accident,2008-01-11,Substantial,cessna,c-152,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,4,cessna,private,1,0.0,0.0
Accident,2008-01-12,Substantial,cessna,172m,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,5,cessna,private,2,0.0,0.0
Accident,2008-01-12,Substantial,cessna,340,2,Reciprocating,4,0,0,0,vmc,Unknown,2008,1,5,cessna,private,4,100.0,0.0
Accident,2008-01-12,Substantial,cessna,172l,1,Reciprocating,3,0,0,0,vmc,Unknown,2008,1,5,cessna,private,3,100.0,0.0
Accident,2008-01-12,Substantial,piper,pa-28-181,1,Reciprocating,2,0,0,0,unk,Unknown,2008,1,5,piper,private,2,100.0,0.0
Accident,2008-01-12,Substantial,piper,pa-24-250,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,5,piper,private,1,0.0,0.0
Accident,2008-01-12,Substantial,piper,pa-32-300,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,5,piper,private,1,0.0,0.0
Accident,2008-01-13,Substantial,piper,pa-12,1,Reciprocating,0,1,0,1,vmc,Unknown,2008,1,6,piper,private,2,0.0,0.0
Accident,2008-01-13,Substantial,cessna,tu206g,1,Reciprocating,0,0,2,4,unk,Unknown,2008,1,6,cessna,private,6,0.0,33.33333333333333
Accident,2008-01-14,Destroyed,hawker beechcraft corporation,1900c,2,Turbo Prop,1,0,0,0,vmc,Unknown,2008,1,0,beechcraft,private,1,100.0,0.0
Accident,2008-01-14,Substantial,"bombardier, inc.",cl-600-2c10,2,Turbo Fan,0,0,0,61,vmc,Unknown,2008,1,0,bombardier,commercial,61,0.0,0.0
Accident,2008-01-14,Substantial,piper,pa-32-260,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,0,piper,private,1,0.0,0.0
Accident,2008-01-15,Substantial,cessna,208b,1,Turbo Prop,0,1,0,4,vmc,Unknown,2008,1,1,cessna,private,5,0.0,0.0
Accident,2008-01-15,Destroyed,beech,c90b,2,Turbo Prop,2,0,0,0,vmc,Unknown,2008,1,1,beechcraft,private,2,100.0,0.0
Accident,2008-01-16,Substantial,cessna,207,1,Reciprocating,0,0,1,0,imc,Unknown,2008,1,2,cessna,private,1,0.0,100.0
Accident,2008-01-16,Substantial,beech,58p,2,Reciprocating,0,0,0,2,vmc,Unknown,2008,1,2,beechcraft,private,2,0.0,0.0
Accident,2008-01-17,Substantial,hawker beechcraft corp.,58,2,Reciprocating,1,0,0,0,vmc,Unknown,2008,1,3,beechcraft,private,1,100.0,0.0
Accident,2008-01-17,Substantial,piper,pa-32-301xtc,1,Reciprocating,0,0,0,4,vmc,Unknown,2008,1,3,piper,private,4,0.0,0.0
Accident,2008-01-17,Substantial,cessna,a188b,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,3,cessna,private,1,0.0,0.0
Accident,2008-01-18,Substantial,beechcraft,v35b,1,Reciprocating,1,0,0,0,vmc,Unknown,2008,1,4,beechcraft,private,1,100.0,0.0
Accident,2008-01-18,Destroyed,piper,pa46-500tp,1,Turbo Prop,1,0,0,0,imc,Unknown,2008,1,4,piper,private,1,100.0,0.0
Accident,2008-01-19,Destroyed,beech,200,2,Turbo Prop,13,0,0,0,imc,Unknown,2008,1,5,beechcraft,private,13,100.0,0.0
Accident,2008-01-20,Destroyed,cessna,172n,1,Reciprocating,4,0,0,0,vmc,Unknown,2008,1,6,cessna,private,4,100.0,0.0
Accident,2008-01-20,Substantial,cessna,u206f,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,1,6,cessna,private,3,0.0,0.0
Accident,2008-01-20,Substantial,cessna,177b,1,Reciprocating,2,0,0,0,imc,Unknown,2008,1,6,cessna,private,2,100.0,0.0
Accident,2008-01-22,Substantial,cessna,172n,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,1,cessna,private,1,0.0,0.0
Accident,2008-01-23,Substantial,beech,58p,2,Reciprocating,2,0,1,0,vmc,Unknown,2008,1,2,beechcraft,private,3,66.66666666666666,33.33333333333333
Accident,2008-01-23,Substantial,beech,58,2,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,2,beechcraft,private,1,0.0,0.0
Accident,2008-01-25,Substantial,piper,pa-28-r200,1,Reciprocating,0,2,0,0,vmc,Unknown,2008,1,4,piper,private,2,0.0,0.0
Accident,2008-01-25,Substantial,cessna,172n,1,Reciprocating,0,1,0,2,vmc,Unknown,2008,1,4,cessna,private,3,0.0,0.0
Incident,2008-01-25,Unknown,airbus,a320,2,Turbo Fan,0,0,0,107,vmc,Unknown,2008,1,4,airbus,commercial,107,0.0,0.0
Accident,2008-01-26,Substantial,cessna,172s,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,5,cessna,private,1,0.0,0.0
Accident,2008-01-27,Substantial,piper,pa-18-150,1,Reciprocating,0,0,1,0,vmc,Unknown,2008,1,6,piper,private,1,0.0,100.0
Accident,2008-01-28,Substantial,piper,pa32-301ft,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,0,piper,private,1,0.0,0.0
Accident,2008-01-28,Substantial,cessna,150j,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,0,cessna,private,1,0.0,0.0
Accident,2008-01-28,Substantial,cessna,177,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,1,0,cessna,private,1,0.0,0.0
Accident,2008-01-29,Substantial,piper,j3-c65,1,Reciprocating,0,2,0,0,vmc,Unknown,2008,1,1,piper,private,2,0.0,0.0
Accident,2008-01-30,Substantial,"bombardier, inc.",35a,2,Turbo Fan,0,0,0,2,vmc,Unknown,2008,1,2,bombardier,commercial,2,0.0,0.0
Accident,2008-01-30,Substantial,cessna,210g,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,1,2,cessna,private,3,0.0,0.0
Accident,2008-01-31,Substantial,beech,c90-1,2,Turbo Prop,0,0,0,4,imc,Unknown,2008,1,3,beechcraft,private,4,0.0,0.0
Accident,2008-02-01,Destroyed,cessna,525,2,Turbo Fan,2,0,0,0,imc,Unknown,2008,2,4,cessna,private,2,100.0,0.0
Accident,2008-02-01,Substantial,cessna,152,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,4,cessna,private,1,0.0,0.0
Accident,2008-02-02,Destroyed,cessna,340a,2,Reciprocating,4,0,0,0,imc,Unknown,2008,2,5,cessna,private,4,100.0,0.0
Accident,2008-02-03,Substantial,cessna,172s,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,6,cessna,private,1,0.0,0.0
Incident,2008-02-03,Unknown,boeing,737,2,Turbo Fan,0,0,0,0,unk,Unknown,2008,2,6,boeing,commercial,0,,
Accident,2008-02-04,Substantial,piper,pa-32r-301t,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,0,piper,private,1,0.0,0.0
Accident,2008-02-05,Destroyed,cessna,210,1,Reciprocating,1,0,0,0,imc,Unknown,2008,2,1,cessna,private,1,100.0,0.0
Incident,2008-02-06,Minor,cessna,172s,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,2,cessna,private,1,0.0,0.0
Incident,2008-02-07,Minor,piper,pa-28-161,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,3,piper,private,1,0.0,0.0
Accident,2008-02-07,Substantial,cessna,c-172rg,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,3,cessna,private,2,0.0,0.0
Accident,2008-02-07,Substantial,cessna,207,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,3,cessna,private,1,0.0,0.0
Accident,2008-02-08,Substantial,cessna,tr182,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,4,cessna,private,2,0.0,0.0
Accident,2008-02-08,Substantial,cessna,172sp,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,4,cessna,private,2,0.0,0.0
Accident,2008-02-08,Substantial,cessna,140,1,Reciprocating,1,0,0,0,imc,Unknown,2008,2,4,cessna,private,1,100.0,0.0
Accident,2008-02-08,Substantial,cessna,172rg,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,4,cessna,private,2,0.0,0.0
Accident,2008-02-08,Substantial,piper,pa-44-180,2,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,4,piper,private,2,0.0,0.0
Accident,2008-02-08,Substantial,cessna,152,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,4,cessna,private,1,0.0,0.0
Accident,2008-02-09,Substantial,piper,pa-44-180,2,Reciprocating,0,3,0,0,vmc,Unknown,2008,2,5,piper,private,3,0.0,0.0
Accident,2008-02-09,Substantial,cessna,140,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,5,cessna,private,2,0.0,0.0
Accident,2008-02-09,Substantial,piper,pa-28-140,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,2,5,piper,private,3,0.0,0.0
Accident,2008-02-09,Substantial,cessna,177rg,1,Reciprocating,0,0,1,0,vmc,Unknown,2008,2,5,cessna,private,1,0.0,100.0
Accident,2008-02-10,Substantial,piper,pa-28-235,1,Reciprocating,0,0,1,0,vmc,Unknown,2008,2,6,piper,private,1,0.0,100.0
Accident,2008-02-10,Substantial,piper,j3c-65,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,6,piper,private,1,0.0,0.0
Accident,2008-02-10,Substantial,cessna,p210n,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,6,cessna,private,1,0.0,0.0
Accident,2008-02-10,Substantial,beech,23,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,6,beechcraft,private,1,0.0,0.0
Incident,2008-02-10,Unknown,boeing,737-217,2,Turbo Jet,0,0,0,55,unk,Unknown,2008,2,6,boeing,commercial,55,0.0,0.0
Accident,2008-02-10,Unknown,boeing,b737-300,2,Turbo Fan,0,0,1,72,unk,Unknown,2008,2,6,boeing,commercial,73,0.0,1.36986301369863
Accident,2008-02-11,Substantial,cessna,310n,2,Reciprocating,1,0,0,0,unk,Unknown,2008,2,0,cessna,private,1,100.0,0.0
Incident,2008-02-11,Unknown,beech,1900d,2,Turbo Prop,0,0,0,2,vmc,Unknown,2008,2,0,beechcraft,private,2,0.0,0.0
Accident,2008-02-12,Substantial,beech,a45,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,1,beechcraft,private,2,0.0,0.0
Accident,2008-02-13,Destroyed,piper,pa-28r-200,1,Reciprocating,1,0,0,0,unk,Unknown,2008,2,2,piper,private,1,100.0,0.0
Accident,2008-02-13,Destroyed,piper,pa-23-250,2,Reciprocating,1,0,0,0,vmc,Unknown,2008,2,2,piper,private,1,100.0,0.0
Incident,2008-02-13,Minor,boeing,737-500,2,Turbo Fan,0,0,0,39,unk,Unknown,2008,2,2,boeing,commercial,39,0.0,0.0
Incident,2008-02-13,Unknown,"bombardier, inc.",cl-600,2,Turbo Fan,0,0,0,43,vmc,Unknown,2008,2,2,bombardier,commercial,43,0.0,0.0
Accident,2008-02-13,Substantial,cessna,425,2,Turbo Prop,0,0,0,2,vmc,Unknown,2008,2,2,cessna,private,2,0.0,0.0
Accident,2008-02-13,Substantial,cessna,182,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,2,cessna,private,2,0.0,0.0
Accident,2008-02-13,Substantial,beechcraft,390,2,Turbo Fan,0,0,0,2,vmc,Unknown,2008,2,2,beechcraft,private,2,0.0,0.0
Accident,2008-02-13,Substantial,piper,pa-18,1,Reciprocating,2,0,0,2,vmc,Unknown,2008,2,2,piper,private,4,50.0,0.0
Accident,2008-02-14,Substantial,cessna,172p,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,3,cessna,private,1,0.0,0.0
Accident,2008-02-14,Substantial,cessna,305-a,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,3,cessna,private,1,0.0,0.0
Accident,2008-02-15,Unknown,embraer,emb-145lr,2,Turbo Jet,0,0,1,52,vmc,Unknown,2008,2,4,embraer,commercial,53,0.0,1.8867924528301887
Accident,2008-02-15,Substantial,cessna,172s,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,4,cessna,private,1,0.0,0.0
Accident,2008-02-15,Substantial,cessna,182k,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,4,cessna,private,1,0.0,0.0
Accident,2008-02-16,Substantial,cessna,150g,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,5,cessna,private,1,0.0,0.0
Accident,2008-02-17,Destroyed,cessna,414a,2,Reciprocating,2,0,0,0,imc,Unknown,2008,2,6,cessna,private,2,100.0,0.0
Accident,2008-02-17,Substantial,piper,pa-22,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,6,piper,private,2,0.0,0.0
Accident,2008-02-17,Substantial,piper,pa-32-300,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,6,piper,private,2,0.0,0.0
Accident,2008-02-17,Minor,embraer,erj170,2,Turbo Fan,0,0,0,132,vmc,Unknown,2008,2,6,embraer,commercial,132,0.0,0.0
Accident,2008-02-18,Destroyed,cessna,650,2,Turbo Fan,3,0,0,0,vmc,Unknown,2008,2,0,cessna,private,3,100.0,0.0
Incident,2008-02-19,Minor,hawker beechcraft corp.,99,2,Turbo Prop,0,0,0,1,vmc,Unknown,2008,2,1,beechcraft,private,1,0.0,0.0
Accident,2008-02-19,Substantial,cessna,140,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,1,cessna,private,2,0.0,0.0
Accident,2008-02-19,Substantial,piper,pa-30,2,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,1,piper,private,2,0.0,0.0
Accident,2008-02-19,Substantial,cessna,172n,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,1,cessna,private,1,0.0,0.0
Accident,2008-02-20,Destroyed,beech,95-55,2,Reciprocating,1,0,1,0,vmc,Unknown,2008,2,2,beechcraft,private,2,50.0,50.0
Accident,2008-02-21,Substantial,piper aircraft inc,pa-28-161,1,Reciprocating,1,0,0,0,unk,Unknown,2008,2,3,piper,private,1,100.0,0.0
Accident,2008-02-22,Substantial,beech,a36,1,Reciprocating,2,0,0,0,imc,Unknown,2008,2,4,beechcraft,private,2,100.0,0.0
Accident,2008-02-23,Substantial,cessna,210,1,Reciprocating,0,1,0,1,vmc,Unknown,2008,2,5,cessna,private,2,0.0,0.0
Accident,2008-02-23,Substantial,cessna,140,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,5,cessna,private,2,0.0,0.0
Accident,2008-02-23,Unknown,boeing,737-700,2,Turbo Fan,0,0,1,102,imc,Unknown,2008,2,5,boeing,commercial,103,0.0,0.9708737864077669
Incident,2008-02-24,Unknown,boeing,737-300,2,Turbo Fan,0,6,0,136,vmc,Unknown,2008,2,6,boeing,commercial,142,0.0,0.0
Incident,2008-02-25,Minor,boeing,777-2q8,2,Turbo Fan,0,0,0,403,vmc,Unknown,2008,2,0,boeing,commercial,403,0.0,0.0
Accident,2008-02-25,Substantial,piper,pa 32-300,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,2,0,piper,private,3,0.0,0.0
Incident,2008-02-26,Minor,airbus industrie,a320,2,Turbo Fan,0,1,0,124,vmc,Unknown,2008,2,1,airbus,commercial,125,0.0,0.0
Accident,2008-02-26,Substantial,cessna,180,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,1,cessna,private,1,0.0,0.0
Accident,2008-02-26,Substantial,beech,a36,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,1,beechcraft,private,2,0.0,0.0
Accident,2008-02-27,Substantial,cessna,210l,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,2,cessna,private,1,0.0,0.0
Accident,2008-02-27,Substantial,cessna,170b,1,Reciprocating,1,0,0,0,vmc,Unknown,2008,2,2,cessna,private,1,100.0,0.0
Accident,2008-02-27,Destroyed,cessna,210m,1,Reciprocating,6,0,0,0,vmc,Unknown,2008,2,2,cessna,private,6,100.0,0.0
Accident,2008-02-27,Substantial,cessna,177b,1,Reciprocating,0,2,1,0,vmc,Unknown,2008,2,2,cessna,private,3,0.0,33.33333333333333
Accident,2008-02-27,Substantial,piper,pa-44-180,2,Reciprocating,0,0,0,2,vmc,Unknown,2008,2,2,piper,private,2,0.0,0.0
Accident,2008-02-28,Substantial,piper,pa-34-200,2,Reciprocating,0,0,0,0,vmc,Unknown,2008,2,3,piper,private,0,,
Accident,2008-02-28,Substantial,beech,b-55,2,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,3,beechcraft,private,1,0.0,0.0
Accident,2008-02-29,Substantial,cessna,170b,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,4,cessna,private,1,0.0,0.0
Accident,2008-02-29,Substantial,piper,pa-28-161,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,2,4,piper,private,1,0.0,0.0
Incident,2008-03-01,Minor,boeing,737-3h4,2,Turbo Fan,0,0,0,244,imc,Unknown,2008,3,5,boeing,commercial,244,0.0,0.0
Accident,2008-03-01,Substantial,cessna,172,1,Reciprocating,0,0,0,3,vmc,Unknown,2008,3,5,cessna,private,3,0.0,0.0
Accident,2008-03-02,Substantial,cessna,172sp,1,Reciprocating,0,0,0,2,vmc,Unknown,2008,3,6,cessna,private,2,0.0,0.0
Accident,2008-03-02,Substantial,cessna,140,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,3,6,cessna,private,1,0.0,0.0
Accident,2008-03-02,Substantial,piper,pa-22-135,1,Reciprocating,0,0,0,1,vmc,Unknown,2008,3,6,piper,private,1,0.0,0.0
